Type,Root Function Name,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name
Callee,OCB_enc_dyc,Number_of_Blocks,2,0,0,0,0,performance_analyzing.exe
Callee,OCB_enc_dyc,OCB_init,2,16.43,0.29,1.18,0.02,performance_analyzing.exe
Callee,OCB_enc_dyc,plainntext_to_blocks,2,0.37,0.11,0.03,0.01,performance_analyzing.exe
Callee,OCB_enc_dyc,round_keys_generator,2,0.88,0.03,0.06,0,performance_analyzing.exe
Callee,OCB_enc_dyc,str_to_Uchar_array,2,0.32,0.2,0.02,0.01,performance_analyzing.exe
Callee,OCB_enc_dyc,Tag_remover,1,0.18,0.01,0.03,0,performance_analyzing.exe
Callee,OCB_enc_dyc,xor_arrays,24,0.04,0.04,0,0,performance_analyzing.exe
Root,OCB_init,OCB_init,2,16.43,0.29,1.18,0.02,performance_analyzing.exe
Caller,OCB_init,OCB_enc_dyc,2,16.43,0.29,1.18,0.02,performance_analyzing.exe
Callee,OCB_init,__CheckForDebuggerJustMyCode,2,0,0,0,0,performance_analyzing.exe
Callee,OCB_init,__security_check_cookie,2,0,0,0,0,performance_analyzing.exe
Callee,OCB_init,_RTC_CheckStackVars,2,0.01,0.01,0,0,performance_analyzing.exe
Callee,OCB_init,AESEncryption,4,15.76,0.15,0.56,0.01,performance_analyzing.exe
Callee,OCB_init,Array_1d_to_2d,2,0.02,0,0,0,performance_analyzing.exe
Callee,OCB_init,Array_2d_to_1d,4,0,0,0,0,performance_analyzing.exe
Callee,OCB_init,L_Array_Length,2,0.2,0,0.01,0,performance_analyzing.exe
Callee,OCB_init,ntz,4,0,0,0,0,performance_analyzing.exe
Callee,OCB_init,OCB_L_Shift,4,0.01,0.01,0,0,performance_analyzing.exe
Callee,OCB_init,OCB_R_Shift,2,0,0,0,0,performance_analyzing.exe
Callee,OCB_init,str_to_Uchar_array,2,0.11,0.04,0.01,0,performance_analyzing.exe
Callee,OCB_init,xor_arrays,8,0.01,0.01,0,0,performance_analyzing.exe
Root,OCB_L_Shift,OCB_L_Shift,4,0.01,0.01,0,0,performance_analyzing.exe
Caller,OCB_L_Shift,OCB_init,4,0.01,0.01,0,0,performance_analyzing.exe
Callee,OCB_L_Shift,__CheckForDebuggerJustMyCode,4,0,0,0,0,performance_analyzing.exe
Root,OCB_R_Shift,OCB_R_Shift,2,0,0,0,0,performance_analyzing.exe
Caller,OCB_R_Shift,OCB_init,2,0,0,0,0,performance_analyzing.exe
Callee,OCB_R_Shift,__CheckForDebuggerJustMyCode,2,0,0,0,0,performance_analyzing.exe
Root,plainntext_to_blocks,plainntext_to_blocks,2,0.37,0.11,0.03,0.01,performance_analyzing.exe
Caller,plainntext_to_blocks,OCB_enc_dyc,2,0.37,0.11,0.03,0.01,performance_analyzing.exe
